Edad,Hombres,Mujeres,Categoría
0,-0.34823493999999999,0.32717351,Total España
1,-0.36724266999999999,0.35031602000000001,Total España
2,-0.38973010000000002,0.3687761,Total España
3,-0.41150978999999999,0.39100023,Total España
4,-0.44152953,0.41649763000000001,Total España
5,-0.46453512000000002,0.43960221999999999,Total España
6,-0.47722168999999998,0.45209289000000003,Total España
7,-0.48785877,0.45876792999999999,Total España
8,-0.48176298000000001,0.45621713000000003,Total España
9,-0.51171743000000003,0.48194833999999998,Total España
10,-0.52493480000000003,0.49450431,Total España
11,-0.53616587000000004,0.50663691,Total España
12,-0.54713155000000002,0.51382379,Total España
13,-0.57117978000000003,0.53816059000000005,Total España
14,-0.55044694999999999,0.51949197999999996,Total España
15,-0.54837429999999998,0.51841563000000002,Total España
16,-0.53555923999999999,0.50781224999999997,Total España
17,-0.53780883000000002,0.50387336999999999,Total España
18,-0.53536545999999996,0.50308560000000002,Total España
19,-0.52628286000000002,0.48948277000000001,Total España
20,-0.52637343999999997,0.49285925000000003,Total España
21,-0.53484098000000002,0.49834209000000002,Total España
22,-0.52183634999999995,0.49557645,Total España
23,-0.51315818000000002,0.48454968999999998,Total España
24,-0.52170154999999996,0.49978073000000001,Total España
25,-0.51918023999999996,0.50025045000000001,Total España
26,-0.52589529000000002,0.50704554000000002,Total España
27,-0.53499262999999997,0.51800279000000005,Total España
28,-0.55386555999999998,0.53691573000000004,Total España
29,-0.56877011,0.55496928999999995,Total España
30,-0.56829196999999998,0.55343376,Total España
31,-0.57453098999999996,0.56485439999999998,Total España
32,-0.58197273000000005,0.57679952999999995,Total España
33,-0.59172725999999998,0.58906060999999998,Total España
34,-0.59871191999999995,0.59716374999999999,Total España
35,-0.61076869,0.61496876,Total España
36,-0.63134776000000004,0.63456416000000004,Total España
37,-0.65575618000000002,0.65867558000000004,Total España
38,-0.67845213000000004,0.67940210000000001,Total España
39,-0.71767453999999997,0.71617902,Total España
40,-0.75039252000000001,0.74364375999999999,Total España
41,-0.78762863000000005,0.77788884999999997,Total España
42,-0.80882697000000003,0.79859851999999998,Total España
43,-0.84594511999999999,0.82978938999999996,Total España
44,-0.85940050999999995,0.83656132000000005,Total España
45,-0.87101282999999996,0.85275075,Total España
46,-0.86555526999999999,0.84343014000000005,Total España
47,-0.85619252999999995,0.83900680000000005,Total España
48,-0.83393890999999998,0.81648776999999995,Total España
49,-0.82730599999999999,0.81379584999999999,Total España
50,-0.81119662000000003,0.80100817999999996,Total España
51,-0.79773280999999996,0.79067231000000004,Total España
52,-0.78347069000000003,0.78382876999999995,Total España
53,-0.77306109000000001,0.77857763000000002,Total España
54,-0.77275145999999995,0.78478504999999998,Total España
55,-0.75201019999999996,0.76431550999999998,Total España
56,-0.74024621999999995,0.76080632999999998,Total España
57,-0.74611452,0.77055452999999996,Total España
58,-0.70674046000000001,0.73139531999999996,Total España
59,-0.67754007999999999,0.70784208000000004,Total España
60,-0.65763715,0.69133248000000003,Total España
61,-0.65513270000000001,0.69278165000000003,Total España
62,-0.63345410999999996,0.67209936999999997,Total España
63,-0.61359330999999995,0.65611637,Total España
64,-0.59314482999999996,0.64024921000000001,Total España
65,-0.54808573000000005,0.59637386999999997,Total España
66,-0.52731497999999999,0.57785903000000005,Total España
67,-0.49655168999999999,0.55115888999999996,Total España
68,-0.49389768000000001,0.54777397999999999,Total España
69,-0.48684350999999998,0.54113054999999999,Total España
70,-0.44881541000000003,0.50761003999999998,Total España
71,-0.43055543000000002,0.49243587999999999,Total España
72,-0.43747269999999999,0.51075062000000004,Total España
73,-0.44850156000000002,0.52978572999999995,Total España
74,-0.40167733,0.48035172999999998,Total España
75,-0.37361228000000002,0.45676267999999998,Total España
76,-0.37921517999999999,0.47133232000000003,Total España
77,-0.35050347999999998,0.44215933000000002,Total España
78,-0.33398967000000002,0.42947277,Total España
79,-0.27784271999999999,0.36269295000000001,Total España
80,-0.24543648000000001,0.32817824000000001,Total España
81,-0.28385846999999997,0.39461262000000003,Total España
82,-0.17416592,0.25656645,Total España
83,-0.18650283000000001,0.28064839000000003,Total España
84,-0.19428159,0.30298415000000001,Total España
